Model,Train_Accuracy,Test_Accuracy,Test_Macro_F1,Test_Macro_Precision,Test_Macro_Recall
LightGBM,0.5709663706782543,0.4061023993954279,0.3122169870147208,0.3115959749076242,0.33684998550259426
XGBoost,0.615057623276025,0.40289061023993955,0.305893826975432,0.30567378293456104,0.3222830098499149
RandomForest,0.47496693746457586,0.40119025127526925,0.29333494505880464,0.3217836876120226,0.34929844548454614
LogisticRegression,0.3081428301530323,0.3157944454940487,0.2454213146745372,0.28015970614394126,0.3439989855771578
